model,num_base,num_layers,rnn_layers,lstm_layers,nhead,d_model,train_acc,train_precision,train_recall,train_f1,test_acc,test_precision,test_recall,test_f1,params,train_time_sec
cnn,32,3,0,0,0,0,0.693005181,0.742424242,0.617128463,0.674002751,0.512953368,0.605769231,0.543103448,0.572727273,31522,3.018422365
cnn,32,4,0,0,0,0,0.879533679,0.969135802,0.79093199,0.871012483,0.424870466,0.551020408,0.232758621,0.327272727,130594,3.347305298
cnn,32,5,0,0,0,0,0.889896373,0.829113924,0.989924433,0.902411022,0.549222798,0.588957055,0.827586207,0.688172043,525346,3.71073103
cnn,32,6,0,0,0,0,0.957253886,0.931279621,0.989924433,0.95970696,0.450777202,0.6,0.25862069,0.361445783,2101282,5.932412624
rnn,32,5,1,0,0,0,0.857512953,0.852579853,0.874055416,0.86318408,0.632124352,0.695652174,0.689655172,0.692640693,602402,5.412660837
rnn,32,5,2,0,0,0,0.883419689,0.91598916,0.85138539,0.882506527,0.487046632,0.593406593,0.465517241,0.52173913,610722,6.331189632
rnn,32,5,3,0,0,0,0.849740933,0.843520782,0.869017632,0.856079404,0.523316062,0.613207547,0.560344828,0.585585586,619042,6.794205666
lstm,32,5,0,1,0,0,0.775906736,0.78,0.785894207,0.78293601,0.564766839,0.645454545,0.612068966,0.628318584,639650,5.827540636
lstm,32,5,0,2,0,0,0.663212435,0.812785388,0.44836272,0.577922078,0.466321244,0.62745098,0.275862069,0.383233533,672930,6.448794365
lstm,32,5,0,3,0,0,0.485751295,0,0,0,0.398963731,0,0,0,706210,9.710053205
transformer,32,5,0,0,4,128,0.50388601,0.791666667,0.047858942,0.090261283,0.398963731,0,0,0,855330,13.79747176
transformer,32,5,0,0,4,32,0.489637306,1,0.007556675,0.015,0.398963731,0,0,0,636130,10.15668583
